STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,25-03-2000,,,,,0.05,",,0,2400",,,,,,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,26-03-2000,,,,,0.34,",,0,2400",0,"P,,0",,,76,",,0",37,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,27-03-2000,,,,,0,"T,,0,2400",0,"P,,0",,,60,",,0",40,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,28-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",46,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,29-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",56,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,30-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",59,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,31-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,01-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",63,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,02-04-2000,,,,,0.3,",,0,2400",0,"P,,0",0,"P,,0",69,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,03-04-2000,,,,,0.02,",,0,2400",0,"P,,0",0,"P,,0",59,",,0",39,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,04-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",49,",,0",32,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,05-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",66,",,0",31,",,0",,,,,,,,,,,,,,
